stage,comparison,metric,estimate,ci_low,ci_high,unit,evidence_boundary
readability,video_clean,translation_error,0.0328143587,,,m,cross_three_seed_linear_probe
readability,video_mean_control,translation_error,0.0613688603,,,m,frozen_control
readability,video_shuffle_control,translation_error,0.0672426671,,,m,frozen_control
readability,action_current_clean,translation_error,0.0218509672,,,m,cross_three_seed_linear_probe
readability,action_current_mean_control,translation_error,0.0613688603,,,m,frozen_control
readability,action_current_shuffle_control,translation_error,0.0771181857,,,m,frozen_control
readability,action_future_clean,se3_composite_error,0.1055833011,,,,cross_three_seed_linear_probe
readability,action_future_mean_control,se3_composite_error,0.1970272748,,,,frozen_control
readability,action_future_shuffle_control,se3_composite_error,0.2250147977,,,,frozen_control
paired_gap,camera_minus_clean,video_translation_rmse_gap,0.0202731505,0.0020916596,0.0407990582,m,mean_with_conservative_three_seed_ci_envelope
paired_gap,lighting_minus_clean,video_translation_rmse_gap,0.0116597245,0.0007723008,0.0204496033,m,mean_with_conservative_three_seed_ci_envelope
selected_coordinate,camera,rank3_shift,0.2950931787,0.2464363997,0.3486350968,,exact_state_group_bootstrap
selected_coordinate,lighting,rank3_shift,0.1488092014,0.1284940050,0.1657117742,,exact_state_group_bootstrap
selected_coordinate,camera_minus_lighting,rank3_paired_difference,0.1462839774,0.0885185823,0.2003098446,,exact_state_group_bootstrap_2000
selected_coordinate,robot_init,rank3_shift,0.0964760023,0.0754301824,0.1249416464,,non_exact_state_exploratory_only
intervention,correct,bitwise_recovery_count,36,,,count,36_of_36
intervention,shuffle,above_replay_floor_count,36,,,count,36_of_36
intervention,shuffle,action_l2_mean,0.0007676528,,,,offline_action_tensor_only
intervention,shuffle,translation_difference_mean,0.0010936766,,,,offline_action_tensor_only
intervention,shuffle,rotation_difference_mean,0.0004103212,,,,offline_action_tensor_only
intervention,shuffle,gripper_difference_mean,0.0,,,,offline_action_tensor_only
intervention,shuffle,intervention_to_hidden_norm_mean,0.0328317361,,,ratio,offline_action_tensor_only
intervention,shuffle,explained_actual_feature_energy_mean,0.0010430799,,,ratio,offline_action_tensor_only
