section,variant,condition,metric,estimate,ci95_low,ci95_high,unit,evidence_role
representation,B1,camera_minus_clean,camera_representation_gap,0.0022461169864982367,,,probe_error,directional_pilot
representation,G3,camera_minus_clean,camera_representation_gap,0.0017757044018556674,,,probe_error,directional_pilot
representation,G4,camera_minus_clean,camera_representation_gap,0.0016662330987552802,,,probe_error,directional_pilot
future_geometry,B1,camera,future_camera_geometry_rmse,0.3412765085319087,,,rmse,directional_pilot
future_geometry,G3,camera,future_camera_geometry_rmse,0.3413198196775955,,,rmse,directional_pilot
future_geometry,G4,camera,future_camera_geometry_rmse,0.3413307979940417,,,rmse,directional_pilot
future_utility,B1,clean,loss_null_minus_correct,-0.02156910815097035,-0.03582373485892276,-0.013016808308293548,action_objective,posthoc_readonly_exploratory
future_utility,B1,camera,loss_null_minus_correct,-0.009729654758757533,-0.014508021849906072,-0.006186468582654925,action_objective,posthoc_readonly_exploratory
future_utility,G3,clean,loss_null_minus_correct,-0.015268401824187094,-0.02947640417914954,-0.002836416759464555,action_objective,posthoc_readonly_exploratory
future_utility,G3,camera,loss_null_minus_correct,0.00480727901958744,-0.009028033467984642,0.018497664141250425,action_objective,posthoc_readonly_exploratory
future_utility,G4,clean,loss_null_minus_correct,-0.018711703793314882,-0.031480059065415844,-0.010832845975755845,action_objective,posthoc_readonly_exploratory
future_utility,G4,camera,loss_null_minus_correct,-0.0038922400367482624,-0.01713889725942863,0.015238322653658543,action_objective,posthoc_readonly_exploratory
future_utility,G3,clean_and_camera,loss_null_minus_correct,-0.005230561402299827,-0.008986840263904127,-0.0017633187247042782,action_objective,directional_pilot_primary
rollout,B1,camera,success_rate,0.25,,,proportion_n4,directional_pilot
rollout,B1,clean,success_rate,0.25,,,proportion_n4,directional_pilot
rollout,B1,lighting,success_rate,1.0,,,proportion_n4,directional_pilot
rollout,B1,robot_init,success_rate,1.0,,,proportion_n4,directional_pilot
rollout,G3,camera,success_rate,0.25,,,proportion_n4,directional_pilot
rollout,G3,clean,success_rate,0.25,,,proportion_n4,directional_pilot
rollout,G3,lighting,success_rate,1.0,,,proportion_n4,directional_pilot
rollout,G3,robot_init,success_rate,1.0,,,proportion_n4,directional_pilot
rollout,G4,camera,success_rate,0.0,,,proportion_n4,directional_pilot
rollout,G4,clean,success_rate,0.25,,,proportion_n4,directional_pilot
rollout,G4,lighting,success_rate,1.0,,,proportion_n4,directional_pilot
rollout,G4,robot_init,success_rate,1.0,,,proportion_n4,directional_pilot
mechanism,G3,all,ray_pose_tanh_gate,-0.0024837986711380706,,,scalar,posthoc_readonly_exploratory
mechanism,G4,all,ray_pose_tanh_gate,-0.002483249194208182,,,scalar,posthoc_readonly_exploratory
